,rain,tmax,tmin
1972-01-01 12:00:00,31.6,16.8,13.5
1972-01-02 12:00:00,28.3,20.6,8.8
1972-01-03 12:00:00,10.7,15.8,8.3
1972-01-04 12:00:00,11.3,12.9,7.7
1972-01-05 12:00:00,0.0,13.2,7.0
1972-01-06 12:00:00,0.0,14.6,9.0
1972-01-07 12:00:00,0.0,17.3,5.5
1972-01-08 12:00:00,0.0,14.9,3.6
1972-01-09 12:00:00,0.0,17.6,8.9
1972-01-10 12:00:00,5.0,15.2,13.0
1972-01-11 12:00:00,16.4,17.5,10.1
1972-01-12 12:00:00,61.1,14.9,6.1
1972-01-13 12:00:00,37.9,20.7,9.8
1972-01-14 12:00:00,13.1,11.1,4.6
1972-01-15 12:00:00,0.0,11.5,4.8
1972-01-16 12:00:00,0.0,15.0,5.9
1972-01-17 12:00:00,0.0,12.8,8.7
1972-01-18 12:00:00,11.0,15.5,8.2
1972-01-19 12:00:00,59.5,14.3,10.8
1972-01-20 12:00:00,0.0,15.1,7.8
1972-01-21 12:00:00,0.0,16.9,10.2
1972-01-22 12:00:00,2.7,20.7,11.2
1972-01-23 12:00:00,0.0,19.2,12.3
1972-01-24 12:00:00,20.1,22.4,12.7
1972-01-25 12:00:00,0.0,20.5,10.2
1972-01-26 12:00:00,0.0,17.9,9.3
1972-01-27 12:00:00,2.2,22.7,12.2
1972-01-28 12:00:00,59.9,23.1,12.4
1972-01-29 12:00:00,15.7,14.2,5.1
1972-01-30 12:00:00,29.9,6.0,3.4
1972-01-31 12:00:00,2.2,11.5,5.3
1972-02-01 12:00:00,0.0,14.5,3.4
1972-02-02 12:00:00,0.0,19.3,4.9
1972-02-03 12:00:00,0.0,19.2,8.8
1972-02-04 12:00:00,7.4,13.9,11.6
1972-02-05 12:00:00,0.0,18.6,7.9
1972-02-06 12:00:00,0.0,22.1,8.3
1972-02-07 12:00:00,0.0,20.8,9.1
1972-02-08 12:00:00,30.1,11.4,12.3
1972-02-09 12:00:00,0.0,16.1,4.8
1972-02-10 12:00:00,0.0,22.6,5.9
1972-02-11 12:00:00,0.0,19.6,9.5
1972-02-12 12:00:00,0.0,18.7,10.8
1972-02-13 12:00:00,0.0,21.3,10.5
1972-02-14 12:00:00,0.0,21.0,10.4
1972-02-15 12:00:00,0.0,23.5,11.0
1972-02-16 12:00:00,0.0,20.5,11.7
1972-02-17 12:00:00,0.0,18.5,10.5
1972-02-18 12:00:00,0.0,20.3,11.8
1972-02-19 12:00:00,37.2,16.5,12.1
1972-02-20 12:00:00,17.0,16.6,13.5
1972-02-21 12:00:00,0.0,20.7,12.4
1972-02-22 12:00:00,0.0,17.9,14.5
1972-02-23 12:00:00,7.2,16.5,14.6
1972-02-24 12:00:00,0.0,14.1,8.0
1972-02-25 12:00:00,0.0,15.2,5.7
1972-02-26 12:00:00,0.0,13.1,11.1
1972-02-27 12:00:00,0.0,21.0,9.5
1972-02-28 12:00:00,0.0,19.2,9.0
1972-02-29 12:00:00,0.0,21.1,9.9
1972-03-01 12:00:00,0.0,18.9,12.6
1972-03-02 12:00:00,0.0,21.7,14.0
1972-03-03 12:00:00,17.4,19.4,12.8
1972-03-04 12:00:00,118.9,15.7,13.7
1972-03-05 12:00:00,0.0,13.3,6.0
1972-03-06 12:00:00,0.0,15.6,6.4
1972-03-07 12:00:00,0.0,16.7,6.1
1972-03-08 12:00:00,0.0,17.3,8.4
1972-03-09 12:00:00,0.0,19.4,8.9
1972-03-10 12:00:00,26.9,13.7,9.6
1972-03-11 12:00:00,51.7,13.5,11.2
