Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1876,1.1,1.0,0.1,1.0,0.8,1.8,-0.5,1.3,1.0,-0.8,-0.3,-0.4
1877,-0.9,-0.6,-0.4,-0.7,0.5,-1.6,-1.0,-0.8,-1.8,-1.5,-1.3,-1.4
1878,-0.8,-1.9,-1.5,-0.7,0.3,-0.2,1.7,1.3,1.7,1.1,1.4,1.7
1879,1.3,1.3,1.3,1.2,0.3,1.7,2.3,2.3,1.8,1.5,0.9,-0.6
1880,1.1,0.7,1.4,0.6,1.3,1.0,0.2,1.5,0.7,0.5,0.6,-0.3
1881,-0.7,-0.5,0.2,0.1,-0.3,-0.4,-0.5,-1.1,-1.4,-2.3,0.6,0.9
1882,-0.6,-0.1,0.5,0.2,0.8,-1.1,-2.1,-2.5,-1.5,-0.2,0.2,0.9
1883,0.6,0.8,-2.4,1.4,1.5,0.4,-1.0,0.2,-0.9,0.5,0.4,-1.6
1884,-1.2,-0.5,1.0,-1.2,0.2,1.0,-0.3,-0.5,-0.7,0.4,-0.2,-1.4
1885,-1.6,0.1,0.5,0.1,-0.3,-1.4,-0.5,-0.9,-0.4,-1.7,-1.6,0.4
1886,-0.0,0.1,0.3,0.5,0.7,0.6,0.8,1.4,1.3,1.3,0.9,1.4
1887,1.2,1.0,1.0,1.0,-0.3,0.6,0.5,0.5,0.4,0.5,-0.6,0.4
1888,-0.3,-0.2,-1.1,-2.0,-0.8,-1.5,-1.7,-0.8,-1.0,-1.4,-1.3,-0.3
1889,-2.5,-0.2,-2.6,0.1,-0.1,2.3,0.2,0.2,1.0,0.4,2.2,2.1
1890,2.1,1.0,1.4,0.7,0.5,0.7,-0.2,-0.3,0.9,0.4,0.2,-0.0
1891,1.6,-0.3,-0.9,0.5,0.1,-0.1,-0.6,-0.8,-1.1,0.1,-0.5,-0.5
1892,0.3,-0.9,1.1,0.7,1.1,2.1,0.8,0.6,0.6,0.8,-0.1,0.3
1893,1.1,0.7,-0.1,0.2,-0.2,1.2,1.5,0.8,0.5,0.8,0.2,0.1
1894,1.8,0.9,0.6,-0.1,-0.4,-0.1,-0.2,-0.5,-0.2,0.2,0.6,-0.1
1895,0.6,0.2,0.0,-0.5,-0.7,-0.4,0.0,-0.6,-0.4,-0.5,-0.9,-0.4
1896,0.2,0.4,-0.6,-0.7,-4.0,-3.0,-2.1,-2.2,-1.9,-1.8,-1.2,-1.5
1897,-1.2,-0.7,-1.6,-1.5,-1.6,0.1,-0.2,0.1,-0.0,0.2,-0.8,0.9
1898,0.7,0.5,1.9,1.1,-0.1,-0.1,0.7,0.2,0.3,-0.1,-0.3,-0.1
1899,1.3,0.8,1.4,0.5,-0.6,-1.0,-0.5,-1.0,-0.2,0.6,1.5,-0.4
1900,-0.7,-0.6,-2.4,-1.5,-0.6,2.7,1.1,0.8,-1.7,-1.7,-0.7,-0.6
1901,0.0,0.2,1.0,0.5,0.1,2.1,1.5,1.0,-1.6,-2.1,-0.9,-0.3
1902,1.7,-0.2,1.2,0.8,0.9,0.4,0.2,-0.8,-1.8,-0.7,-0.4,-0.4
1903,-0.9,-0.9,1.8,1.7,0.9,0.0,0.7,0.1,0.8,0.4,0.0,1.5
1904,1.4,1.4,1.0,2.9,1.0,-0.6,-0.9,0.1,-0.0,0.1,-1.7,0.2
1905,-0.9,-1.5,-2.9,-3.7,-3.6,-3.1,-2.1,-0.7,-0.7,-0.5,-1.8,-1.4
1906,-0.3,-0.7,-0.5,-0.7,0.2,-0.3,0.7,1.6,1.8,0.9,2.0,0.4
1907,0.5,0.1,0.0,0.5,1.1,0.9,-0.4,-0.8,-0.0,0.1,-0.3,0.8
1908,-1.0,0.7,0.1,1.6,0.0,-0.1,0.3,0.6,1.7,0.8,0.2,-0.6
1909,-0.2,-0.3,0.0,-1.2,0.3,2.4,1.1,1.0,0.0,0.4,0.8,0.4
1910,0.6,1.3,1.3,0.6,0.2,2.3,2.1,1.0,1.5,1.0,1.8,1.5
1911,0.3,0.1,0.4,0.3,-0.7,-1.1,-1.3,-1.2,-0.9,-1.1,-0.8,-0.2
1912,-0.9,-1.6,-0.8,-1.8,-1.2,-0.5,0.0,-0.7,-0.4,-0.8,0.2,-0.9
1913,-0.3,-0.5,0.2,-0.4,-0.7,-0.3,-0.1,-0.7,-1.0,-0.9,-1.2,-0.8
1914,-0.5,0.2,1.0,-1.2,0.1,-1.6,-1.8,-1.7,-1.3,-0.8,-1.2,-0.2
1915,-2.1,-0.2,-1.9,-1.5,-1.1,0.8,1.5,0.8,0.7,0.2,-1.5,0.9
1916,0.6,-0.3,-0.6,0.1,0.8,1.0,2.7,1.6,0.4,0.6,0.9,1.5
1917,0.5,0.9,1.8,2.1,2.3,2.2,2.9,3.5,2.9,1.5,2.0,2.2
1918,1.5,1.5,-0.1,1.6,1.1,-0.4,-1.4,-0.4,-0.9,-0.5,0.0,-0.9
1919,-1.4,-1.0,-1.2,-0.1,-0.6,-1.0,-0.9,-0.7,-0.6,-1.0,-1.2,-1.0
1920,0.2,-0.2,-0.4,0.1,-0.1,0.8,1.0,0.6,0.4,-0.4,-0.1,0.9
1921,1.1,0.6,0.9,-0.5,0.3,2.3,0.3,-0.7,0.4,0.9,0.8,0.7
1922,0.8,0.8,0.6,-0.4,-0.4,0.7,0.3,-0.1,0.4,0.6,0.8,1.1
1923,0.6,0.4,0.9,0.9,0.3,0.2,-1.1,-1.8,-1.5,-0.6,-1.3,0.1
1924,-0.5,0.1,0.3,-1.2,1.3,0.9,0.8,1.1,0.7,0.8,1.1,0.4
1925,0.6,1.2,1.5,1.4,0.0,-0.4,-1.3,-1.0,-0.7,-1.3,-1.0,-0.8
1926,-0.5,-1.3,-1.2,-0.5,-0.1,-0.6,-0.1,-0.7,0.1,0.4,0.0,0.5
1927,0.5,0.1,1.8,0.7,0.7,0.9,0.7,-0.5,-0.1,-0.4,-0.8,0.7
1928,-1.0,0.9,1.4,1.2,-0.1,-0.7,0.0,1.0,0.7,0.9,0.2,1.1
1929,1.6,1.6,0.5,0.5,-1.1,0.2,0.2,0.1,-0.1,0.8,1.0,0.5
